label,class,a_device,a_iface,b_device,b_iface,type,status,description
R0-W01,fabric-host-leaf,worker01,rail0,leaf-rail0,Ethernet1,dac-qsfpdd-400g,planned,GPU rail 0: worker01 → leaf-rail0
R1-W01,fabric-host-leaf,worker01,rail1,leaf-rail1,Ethernet1,dac-qsfpdd-400g,planned,GPU rail 1: worker01 → leaf-rail1
R2-W01,fabric-host-leaf,worker01,rail2,leaf-rail2,Ethernet1,dac-qsfpdd-400g,planned,GPU rail 2: worker01 → leaf-rail2
R3-W01,fabric-host-leaf,worker01,rail3,leaf-rail3,Ethernet1,dac-qsfpdd-400g,planned,GPU rail 3: worker01 → leaf-rail3
R4-W01,fabric-host-leaf,worker01,rail4,leaf-rail4,Ethernet1,dac-qsfpdd-400g,planned,GPU rail 4: worker01 → leaf-rail4
R5-W01,fabric-host-leaf,worker01,rail5,leaf-rail5,Ethernet1,dac-qsfpdd-400g,planned,GPU rail 5: worker01 → leaf-rail5
R6-W01,fabric-host-leaf,worker01,rail6,leaf-rail6,Ethernet1,dac-qsfpdd-400g,planned,GPU rail 6: worker01 → leaf-rail6
R7-W01,fabric-host-leaf,worker01,rail7,leaf-rail7,Ethernet1,dac-qsfpdd-400g,planned,GPU rail 7: worker01 → leaf-rail7
R0-W02,fabric-host-leaf,worker02,rail0,leaf-rail0,Ethernet2,dac-qsfpdd-400g,planned,GPU rail 0: worker02 → leaf-rail0
R1-W02,fabric-host-leaf,worker02,rail1,leaf-rail1,Ethernet2,dac-qsfpdd-400g,planned,GPU rail 1: worker02 → leaf-rail1
R2-W02,fabric-host-leaf,worker02,rail2,leaf-rail2,Ethernet2,dac-qsfpdd-400g,planned,GPU rail 2: worker02 → leaf-rail2
R3-W02,fabric-host-leaf,worker02,rail3,leaf-rail3,Ethernet2,dac-qsfpdd-400g,planned,GPU rail 3: worker02 → leaf-rail3
R4-W02,fabric-host-leaf,worker02,rail4,leaf-rail4,Ethernet2,dac-qsfpdd-400g,planned,GPU rail 4: worker02 → leaf-rail4
R5-W02,fabric-host-leaf,worker02,rail5,leaf-rail5,Ethernet2,dac-qsfpdd-400g,planned,GPU rail 5: worker02 → leaf-rail5
R6-W02,fabric-host-leaf,worker02,rail6,leaf-rail6,Ethernet2,dac-qsfpdd-400g,planned,GPU rail 6: worker02 → leaf-rail6
R7-W02,fabric-host-leaf,worker02,rail7,leaf-rail7,Ethernet2,dac-qsfpdd-400g,planned,GPU rail 7: worker02 → leaf-rail7
R0-W03,fabric-host-leaf,worker03,rail0,leaf-rail0,Ethernet3,dac-qsfpdd-400g,planned,GPU rail 0: worker03 → leaf-rail0
R1-W03,fabric-host-leaf,worker03,rail1,leaf-rail1,Ethernet3,dac-qsfpdd-400g,planned,GPU rail 1: worker03 → leaf-rail1
R2-W03,fabric-host-leaf,worker03,rail2,leaf-rail2,Ethernet3,dac-qsfpdd-400g,planned,GPU rail 2: worker03 → leaf-rail2
R3-W03,fabric-host-leaf,worker03,rail3,leaf-rail3,Ethernet3,dac-qsfpdd-400g,planned,GPU rail 3: worker03 → leaf-rail3
